date,open,high,low,close,volume
2025-02-06 00:00:00,96613.4,99222.0,95664.6,96585.99,15176.84763438
2025-02-07 00:00:00,96558.5,100235.79,95614.96,96537.08,14747.801451343417
2025-02-08 00:00:00,96536.93,96919.05,95656.9,96496.5,3640.139386160271
2025-02-09 00:00:00,96496.5,97366.0,94726.0,96493.39,7010.79484298
2025-02-10 00:00:00,96473.0,98468.0,95194.7,97472.0,9733.43335192
2025-02-11 00:00:00,97441.2,98645.0,94831.07,95774.08,10167.62024569437
2025-02-12 00:00:00,95767.1,98200.0,94066.92,97862.53,12141.03258315603
2025-02-13 00:00:00,97874.0,98166.0,95220.0,96625.29,8808.844366898238
2025-02-14 00:00:00,96628.0,98890.11,96268.56,97509.03,9892.957746434973
2025-02-15 00:00:00,97464.0,97997.85,97225.01,97596.94,2047.0435797601256
2025-02-16 00:00:00,97588.2,97738.22,96057.68,96257.0,2715.174760953101
2025-02-17 00:00:00,96144.1,97163.0,95200.0,95781.8,5190.55508051937
2025-02-18 00:00:00,95772.8,96923.0,93333.0,95607.4,12084.381233814322
2025-02-19 00:00:00,95600.0,97056.0,94996.8,96632.03,8795.184295502238
2025-02-20 00:00:00,96632.03,98862.0,96405.7,98347.2,12058.825264975687
2025-02-21 00:00:00,98347.2,99574.0,94721.92,96157.03,22158.408055223048
2025-02-22 00:00:00,96099.5,97143.0,95767.95,96582.12,7982.224759819796
2025-02-23 00:00:00,96600.1,96767.0,95243.91,96303.4,4328.53207244962
2025-02-24 00:00:00,96303.4,96659.0,91300.0,91510.82,16322.816662273854
2025-02-25 00:00:00,91509.88,92833.0,85836.18,88583.74,41774.612089547634
2025-02-26 00:00:00,88583.17,89623.0,80525.0,84111.78,31312.753964368785
2025-02-27 00:00:00,84089.9,87320.0,82554.11,85007.0,21525.146429446282
2025-02-28 00:00:00,84668.4,85330.0,78167.81,84297.73,39315.39224549108
2025-03-01 00:00:00,84309.2,86819.0,83772.54,86018.76,9483.167358992197
2025-03-02 00:00:00,86020.8,95321.0,84500.1,94265.48,24083.551182444568
2025-03-03 00:00:00,94265.47,94633.0,85007.01,86161.1,29529.830316002295
2025-03-04 00:00:00,86144.7,89168.0,81434.5,87250.0,30109.867577522098
2025-03-05 00:00:00,87250.0,91262.0,86329.22,90603.73,19533.194312600823
2025-03-06 00:00:00,90610.4,92997.0,87790.5,89921.85,16844.89871932009
2025-03-07 00:00:00,89925.3,91454.0,84608.27,86756.98,33084.234990550984
2025-03-08 00:00:00,86762.3,87140.0,85200.0,86206.69,4705.676339960525
2025-03-09 00:00:00,86164.1,86823.0,80000.0,80952.0,11163.45971722182
2025-03-10 00:00:00,80708.21,84245.0,77389.0,78558.8,27148.7636943381
2025-03-11 00:00:00,78558.9,83820.0,76555.0,82914.51,22831.749789708134
2025-03-12 00:00:00,82900.0,84630.0,80572.21,83659.43,16241.983702473553
2025-03-13 00:00:00,83659.45,84494.0,79890.0,81073.43,12923.944434313644
2025-03-14 00:00:00,81112.3,85487.0,80771.17,84207.0,14087.557383420763
2025-03-15 00:00:00,83997.7,84911.0,83612.24,84351.46,3214.6304629704055
2025-03-16 00:00:00,84351.45,85280.0,81969.44,82562.57,5211.988198380981
2025-03-17 00:00:00,82600.0,84920.0,82416.98,84011.4,9639.781044911759
2025-03-18 00:00:00,84015.2,84221.0,81125.0,82698.76,10062.888107062385
2025-03-19 00:00:00,82705.4,87189.0,82535.53,86877.96,16382.765361706706
2025-03-20 00:00:00,87030.0,87622.0,83596.75,84183.42,12424.910870743975
2025-03-21 00:00:00,84183.41,84945.0,83100.0,84061.96,7581.995538601589
2025-03-22 00:00:00,84034.3,84594.0,83659.69,83800.0,2634.278738259736
2025-03-23 00:00:00,83800.0,86288.0,83799.9,86092.94,4229.03650627041
2025-03-24 00:00:00,86076.5,88868.0,85533.06,87523.62,15617.848069643971
2025-03-25 00:00:00,87511.9,88651.0,86306.7,87427.88,11981.309563373188
2025-03-26 00:00:00,87432.82,88460.0,85850.0,86899.0,9432.048537932485
2025-03-27 00:00:00,86899.0,87934.0,85784.0,87217.48,8122.249638922017
2025-03-28 00:00:00,87209.9,87578.0,83530.1,84373.9,13027.441020453902
2025-03-29 00:00:00,84373.9,84779.0,81608.99,82613.8,4888.172354760677
2025-03-30 00:00:00,82866.0,83697.0,81538.88,82379.98,4152.01394160017
2025-03-31 01:00:00,82325.4,83998.0,81265.16,82534.32,9345.12986192132
2025-04-01 01:00:00,82523.0,85566.53,82403.32,85170.37,11357.764515553576
2025-04-02 01:00:00,85166.92,89042.7,82141.5,82490.08,20950.87652203718
2025-04-03 01:00:00,82517.0,83953.45,81177.7,83174.33,14397.414528337335
2025-04-04 01:00:00,83133.0,84720.67,81634.0,83860.16,17315.188506016537
2025-04-05 01:00:00,83859.78,84238.35,82346.61,83498.25,3990.567933360333
2025-04-06 01:00:00,83508.9,83807.0,77057.7,78370.75,16022.765274633408
2025-04-07 01:00:00,78364.8,81262.0,74409.1,79140.01,34012.31331674034
2025-04-08 01:00:00,79130.1,80901.0,76164.6,76251.64,18116.38453018483
2025-04-09 01:00:00,76276.5,83583.35,74553.01,82594.75,30651.74345719586
2025-04-10 01:00:00,82593.15,82730.93,78387.24,79552.34,14945.225329964955
2025-04-11 01:00:00,79552.34,84299.0,78888.0,83380.47,13416.561091057429
2025-04-12 01:00:00,83372.0,85909.97,82750.0,85271.01,6082.553599749702
2025-04-13 01:00:00,85284.1,86092.99,83000.0,83733.07,5917.249499750369
2025-04-14 01:00:00,83719.8,85818.06,83655.27,84590.36,9838.22155775107
2025-04-15 01:00:00,84530.7,86491.4,83592.77,83629.78,8107.983859220538
2025-04-16 01:00:00,83633.5,85526.4,83088.02,84028.72,10405.021097111508
2025-04-17 01:00:00,84027.5,85494.94,83650.0,84961.97,7447.514199800526
2025-04-18 01:00:00,84961.97,85150.94,84200.0,84472.5,2867.104279670271
2025-04-19 01:00:00,84472.5,85625.0,84311.0,85074.99,2420.9558329401375
2025-04-20 01:00:00,85121.3,85319.21,83817.0,85177.34,2606.604360139963
2025-04-21 01:00:00,85177.33,88630.0,84940.0,87522.07,15412.08409155197
2025-04-22 01:00:00,87473.0,93952.62,87038.0,93472.0,23462.955301077818
2025-04-23 01:00:00,93486.57,94686.0,91902.19,93740.92,15839.057292514297
2025-04-24 01:00:00,93677.0,94061.02,91685.18,94021.96,10740.297438440697
2025-04-25 01:00:00,94000.0,95976.34,92880.01,94717.1,17108.277321188893
2025-04-26 01:00:00,94717.2,95273.52,93903.01,94666.64,3060.034692069708
2025-04-27 01:00:00,94663.5,95369.0,93621.5,93817.0,3233.616196539744
2025-04-28 01:00:00,93780.56,95652.66,92829.44,95042.57,9943.566306081064
2025-04-29 01:00:00,95042.56,95531.0,93761.26,94271.09,8049.411865501323
2025-04-30 01:00:00,94269.7,95285.0,92911.88,94182.54,8734.453615781365
2025-05-01 01:00:00,94182.55,97546.99,94136.79,96524.98,10496.27289228443
2025-05-02 01:00:00,96524.98,97948.56,96369.69,96929.81,7256.7808759602385
2025-05-03 01:00:00,96920.7,96974.78,95765.13,95861.33,3766.8486149803466
2025-05-04 01:00:00,95869.9,96439.0,94151.67,94272.55,6520.619935419753
2025-05-05 01:00:00,94303.1,95407.0,93500.01,94733.99,8648.029960890488
2025-05-06 01:00:00,94733.99,96999.0,93363.28,96839.17,8001.925740560041
2025-05-07 01:00:00,96843.84,97840.0,95800.0,97058.32,10147.081720794095
2025-05-08 01:00:00,97031.4,104190.0,96874.9,103228.0,19616.474123734573
2025-05-09 01:00:00,103228.0,104352.6,102330.0,102976.9,9427.065589243335
2025-05-10 01:00:00,102977.0,104997.0,102800.0,104821.19,4484.628648950571
2025-05-11 01:00:00,104817.83,104980.89,103310.0,104137.62,4506.014488360893
2025-05-12 01:00:00,104119.0,105787.37,100703.71,102825.0,13628.628714054857
2025-05-13 01:00:00,102825.1,105038.53,101447.78,104156.7,10200.69723508226
2025-05-14 01:00:00,104156.8,104373.0,102510.0,103545.38,8846.976385182114
2025-05-15 01:00:00,103540.91,104200.0,101400.01,103786.43,8892.831625982035
2025-05-16 01:00:00,103786.4,104616.71,103100.0,103500.03,8000.739488461985
2025-05-17 01:00:00,103500.1,103741.98,102612.0,103161.07,2432.1108260902347
2025-05-18 01:00:00,103169.1,106692.97,103130.95,106473.46,6572.631078261096
2025-05-19 01:00:00,106525.6,107137.68,102010.0,105616.18,12786.974171207776
2025-05-20 01:00:00,105637.7,107355.0,104120.0,106883.24,11210.729669265931
2025-05-21 01:00:00,106883.24,110788.98,106020.0,109699.54,22528.758848529033
2025-05-22 01:00:00,109697.19,112000.0,109217.23,111722.53,14162.445001847385
2025-05-23 01:00:00,111722.54,111824.07,106710.0,107329.61,13113.430995281662
2025-05-24 01:00:00,107332.08,109517.79,106750.0,107794.01,3988.5814197210075
2025-05-25 01:00:00,107824.2,109371.04,106400.0,109048.68,4045.0791460909004
2025-05-26 01:00:00,109040.4,110474.41,108550.0,109464.32,6432.762292552141
